Caster Leather Mythic+ Dungeon Pool — Hero & Myth Upgrade Stats,,,,,,,,
,,,,,,,,
Track rank,Item level,,Methodology,,,,,
Hero 1/6,305,,"Item IDs were matched against SimulationCraft’s current Midnight item database. Displayed stats and scaled item effects were then captured from Wowhead at each Season 2 item level. Values preserve Wowhead’s in-game display rounding. Overlapping Hero/Myth item levels intentionally repeat the same values.

Sources:
https://github.com/simulationcraft/simc
https://www.wowhead.com/guide/midnight/item-level-gear-upgrades-dawncrests
Individual Wowhead item links are included on each data sheet.",,,,,
Hero 2/6,308,,,,,,,
Hero 3/6,311,,,,,,,
Hero 4/6,315,,,,,,,
Hero 5/6,318,,,,,,,
Hero 6/6,321,,,,,,,
Myth 1/6,318,,,,,,,
Myth 2/6,321,,,,,,,
Myth 3/6,324,,,,,,,
Myth 4/6,328,,,,,,,
Myth 5/6,331,,,,,,,
Myth 6/6,334,,,,,,,
Hero Track — Season 2 Upgrade Stats,,,,,,,,
Each cell contains the complete displayed stat/effect line at that upgrade rank.,,,,,,,,
Item Name,Item ID,"Hero 1/6
(ilvl 305)","Hero 2/6
(ilvl 308)","Hero 3/6
(ilvl 311)","Hero 4/6
(ilvl 315)","Hero 5/6
(ilvl 318)","Hero 6/6
(ilvl 321)",Wowhead Source
Arctic Explorer's Legwraps,251153,"101 Armor
+108 [Agility or Intellect]
+2,096 Stamina
+49 Critical Strike
+84 Haste","103 Armor
+111 [Agility or Intellect]
+2,172 Stamina
+50 Critical Strike
+85 Haste","105 Armor
+114 [Agility or Intellect]
+2,252 Stamina
+51 Critical Strike
+86 Haste","108 Armor
+118 [Agility or Intellect]
+2,358 Stamina
+52 Critical Strike
+87 Haste","110 Armor
+122 [Agility or Intellect]
+2,440 Stamina
+52 Critical Strike
+89 Haste","112 Armor
+125 [Agility or Intellect]
+2,527 Stamina
+53 Critical Strike
+90 Haste",https://www.wowhead.com/item=251153
Band of the Amani Warlord,273792,"+1,572 Stamina
+123 Critical Strike
+216 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,629 Stamina
+126 Critical Strike
+221 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,689 Stamina
+128 Critical Strike
+225 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,768 Stamina
+131 Critical Strike
+231 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,830 Stamina
+134 Critical Strike
+235 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,895 Stamina
+136 Critical Strike
+239 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""",https://www.wowhead.com/item=273792
Bloodthorn Burnous,251190,"65 Armor
+81 [Agility or Strength or Intellect]
+1,572 Stamina
+65 Haste
+35 Mastery","66 Armor
+83 [Agility or Strength or Intellect]
+1,629 Stamina
+66 Haste
+35 Mastery","67 Armor
+86 [Agility or Strength or Intellect]
+1,689 Stamina
+67 Haste
+36 Mastery","69 Armor
+89 [Agility or Strength or Intellect]
+1,768 Stamina
+68 Haste
+37 Mastery","70 Armor
+91 [Agility or Strength or Intellect]
+1,830 Stamina
+69 Haste
+37 Mastery","72 Armor
+94 [Agility or Strength or Intellect]
+1,895 Stamina
+70 Haste
+37 Mastery",https://www.wowhead.com/item=251190
Branch of Pride,251196,"124 - 186 Damage
Speed 3.60
(43.1 damage per second)
+838 [Agility or Intellect]
+2,794 Stamina
+112 Versatility
+66 Mastery","128 - 192 Damage
Speed 3.60
(44.3 damage per second)
+862 [Agility or Intellect]
+2,896 Stamina
+113 Versatility
+67 Mastery","131 - 197 Damage
Speed 3.60
(45.6 damage per second)
+886 [Agility or Intellect]
+3,002 Stamina
+115 Versatility
+68 Mastery","136 - 205 Damage
Speed 3.60
(47.4 damage per second)
+920 [Agility or Intellect]
+3,143 Stamina
+117 Versatility
+69 Mastery","140 - 211 Damage
Speed 3.60
(48.7 damage per second)
+946 [Agility or Intellect]
+3,254 Stamina
+118 Versatility
+70 Mastery","144 - 217 Damage
Speed 3.60
(50.1 damage per second)
+972 [Agility or Intellect]
+3,369 Stamina
+120 Versatility
+71 Mastery",https://www.wowhead.com/item=251196
Breeches of Deft Deals,251130,"142 Armor
+144 [Agility or Intellect]
+2,794 Stamina
+104 Critical Strike
+74 Mastery","144 Armor
+148 [Agility or Intellect]
+2,896 Stamina
+105 Critical Strike
+75 Mastery","147 Armor
+152 [Agility or Intellect]
+3,002 Stamina
+107 Critical Strike
+76 Mastery","151 Armor
+158 [Agility or Intellect]
+3,143 Stamina
+109 Critical Strike
+77 Mastery","154 Armor
+162 [Agility or Intellect]
+3,254 Stamina
+110 Critical Strike
+78 Mastery","157 Armor
+167 [Agility or Intellect]
+3,369 Stamina
+112 Critical Strike
+79 Mastery",https://www.wowhead.com/item=251130
Breeches of the Sacred Hall,159313,"142 Armor
+144 [Agility or Intellect]
+2,794 Stamina
+74 Haste
+104 Versatility","144 Armor
+148 [Agility or Intellect]
+2,896 Stamina
+75 Haste
+105 Versatility","147 Armor
+152 [Agility or Intellect]
+3,002 Stamina
+76 Haste
+107 Versatility","151 Armor
+158 [Agility or Intellect]
+3,143 Stamina
+77 Haste
+109 Versatility","154 Armor
+162 [Agility or Intellect]
+3,254 Stamina
+78 Haste
+110 Versatility","157 Armor
+167 [Agility or Intellect]
+3,369 Stamina
+79 Haste
+112 Versatility",https://www.wowhead.com/item=159313
Charged Sandstone Band,158366,"+1,572 Stamina
+194 Critical Strike
+145 Mastery
Prismatic Socket","+1,629 Stamina
+198 Critical Strike
+148 Mastery
Prismatic Socket","+1,689 Stamina
+202 Critical Strike
+151 Mastery
Prismatic Socket","+1,768 Stamina
+207 Critical Strike
+155 Mastery
Prismatic Socket","+1,830 Stamina
+211 Critical Strike
+158 Mastery
Prismatic Socket","+1,895 Stamina
+215 Critical Strike
+161 Mastery
Prismatic Socket",https://www.wowhead.com/item=158366
Charonic Crescent,251232,"248 - 372 Damage
Speed 3.60
(86.1 damage per second)
+144 [Agility or Strength]
+2,794 Stamina
+104 Critical Strike
+74 Haste","255 - 383 Damage
Speed 3.60
(88.6 damage per second)
+148 [Agility or Strength]
+2,896 Stamina
+105 Critical Strike
+75 Haste","262 - 394 Damage
Speed 3.60
(91.1 damage per second)
+152 [Agility or Strength]
+3,002 Stamina
+107 Critical Strike
+76 Haste","273 - 409 Damage
Speed 3.60
(94.7 damage per second)
+158 [Agility or Strength]
+3,143 Stamina
+109 Critical Strike
+77 Haste","280 - 421 Damage
Speed 3.60
(97.4 damage per second)
+162 [Agility or Strength]
+3,254 Stamina
+110 Critical Strike
+78 Haste","288 - 433 Damage
Speed 3.60
(100.1 damage per second)
+167 [Agility or Strength]
+3,369 Stamina
+112 Critical Strike
+79 Haste",https://www.wowhead.com/item=251232
Chillworn's Infusion Staff,193769,"124 - 186 Damage
Speed 3.60
(43.1 damage per second)
+838 Intellect
+2,794 Stamina
+100 Critical Strike
+77 Versatility","128 - 192 Damage
Speed 3.60
(44.3 damage per second)
+862 Intellect
+2,896 Stamina
+102 Critical Strike
+78 Versatility","131 - 197 Damage
Speed 3.60
(45.6 damage per second)
+886 Intellect
+3,002 Stamina
+103 Critical Strike
+79 Versatility","136 - 205 Damage
Speed 3.60
(47.4 damage per second)
+920 Intellect
+3,143 Stamina
+105 Critical Strike
+81 Versatility","140 - 211 Damage
Speed 3.60
(48.7 damage per second)
+946 Intellect
+3,254 Stamina
+106 Critical Strike
+82 Versatility","144 - 217 Damage
Speed 3.60
(50.1 damage per second)
+972 Intellect
+3,369 Stamina
+107 Critical Strike
+83 Versatility",https://www.wowhead.com/item=193769
