Mail Mythic+ Dungeon Pool — Hero & Myth Upgrade Stats,,,,,,,,
,,,,,,,,
Track rank,Item level,,Methodology,,,,,
Hero 1/6,305,,"Item IDs were matched against SimulationCraft’s current Midnight item database. Displayed stats and scaled item effects were then captured from Wowhead at each Season 2 item level. Values preserve Wowhead’s in-game display rounding. Overlapping Hero/Myth item levels intentionally repeat the same values.

Sources:
https://github.com/simulationcraft/simc
https://www.wowhead.com/guide/midnight/item-level-gear-upgrades-dawncrests
Individual Wowhead item links are included on each data sheet.",,,,,
Hero 2/6,308,,,,,,,
Hero 3/6,311,,,,,,,
Hero 4/6,315,,,,,,,
Hero 5/6,318,,,,,,,
Hero 6/6,321,,,,,,,
Myth 1/6,318,,,,,,,
Myth 2/6,321,,,,,,,
Myth 3/6,324,,,,,,,
Myth 4/6,328,,,,,,,
Myth 5/6,331,,,,,,,
Myth 6/6,334,,,,,,,
Hero Track — Season 2 Upgrade Stats,,,,,,,,
Each cell contains the complete displayed stat/effect line at that upgrade rank.,,,,,,,,
Item Name,Item ID,"Hero 1/6
(ilvl 305)","Hero 2/6
(ilvl 308)","Hero 3/6
(ilvl 311)","Hero 4/6
(ilvl 315)","Hero 5/6
(ilvl 318)","Hero 6/6
(ilvl 321)",Wowhead Source
Amirdrassil's Reach,251197,"207 - 310 Damage
Speed 3.00
(86.1 damage per second)
+144 Agility
+2,794 Stamina
+112 Versatility
+66 Mastery","213 - 319 Damage
Speed 3.00
(88.6 damage per second)
+148 Agility
+2,896 Stamina
+113 Versatility
+67 Mastery","219 - 328 Damage
Speed 3.00
(91.1 damage per second)
+152 Agility
+3,002 Stamina
+115 Versatility
+68 Mastery","227 - 341 Damage
Speed 3.00
(94.7 damage per second)
+158 Agility
+3,143 Stamina
+117 Versatility
+69 Mastery","234 - 351 Damage
Speed 3.00
(97.4 damage per second)
+162 Agility
+3,254 Stamina
+118 Versatility
+70 Mastery","240 - 361 Damage
Speed 3.00
(100.1 damage per second)
+167 Agility
+3,369 Stamina
+120 Versatility
+71 Mastery",https://www.wowhead.com/item=251197
Ancestral Amani Recurve,273789,"207 - 310 Damage
Speed 3.00
(86.1 damage per second)
+144 Agility
+2,794 Stamina
+104 Critical Strike
+74 Haste","213 - 319 Damage
Speed 3.00
(88.6 damage per second)
+148 Agility
+2,896 Stamina
+105 Critical Strike
+75 Haste","219 - 328 Damage
Speed 3.00
(91.1 damage per second)
+152 Agility
+3,002 Stamina
+107 Critical Strike
+76 Haste","227 - 341 Damage
Speed 3.00
(94.7 damage per second)
+158 Agility
+3,143 Stamina
+109 Critical Strike
+77 Haste","234 - 351 Damage
Speed 3.00
(97.4 damage per second)
+162 Agility
+3,254 Stamina
+110 Critical Strike
+78 Haste","240 - 361 Damage
Speed 3.00
(100.1 damage per second)
+167 Agility
+3,369 Stamina
+112 Critical Strike
+79 Haste",https://www.wowhead.com/item=273789
Arc-Glass Bindings,158349,"123 Armor
+81 [Agility or Intellect]
+1,572 Stamina
+65 Critical Strike
+35 Mastery","126 Armor
+83 [Agility or Intellect]
+1,629 Stamina
+66 Critical Strike
+35 Mastery","129 Armor
+86 [Agility or Intellect]
+1,689 Stamina
+67 Critical Strike
+36 Mastery","132 Armor
+89 [Agility or Intellect]
+1,768 Stamina
+68 Critical Strike
+37 Mastery","135 Armor
+91 [Agility or Intellect]
+1,830 Stamina
+69 Critical Strike
+37 Mastery","138 Armor
+94 [Agility or Intellect]
+1,895 Stamina
+70 Critical Strike
+37 Mastery",https://www.wowhead.com/item=158349
Band of the Amani Warlord,273792,"+1,572 Stamina
+123 Critical Strike
+216 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,629 Stamina
+126 Critical Strike
+221 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,689 Stamina
+128 Critical Strike
+225 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,768 Stamina
+131 Critical Strike
+231 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,830 Stamina
+134 Critical Strike
+235 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,895 Stamina
+136 Critical Strike
+239 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""",https://www.wowhead.com/item=273792
Behemoth Waistband,251229,"139 Armor
+108 [Agility or Intellect]
+2,096 Stamina
+87 Versatility
+47 Mastery","142 Armor
+111 [Agility or Intellect]
+2,172 Stamina
+88 Versatility
+47 Mastery","145 Armor
+114 [Agility or Intellect]
+2,252 Stamina
+89 Versatility
+48 Mastery","149 Armor
+118 [Agility or Intellect]
+2,358 Stamina
+90 Versatility
+49 Mastery","152 Armor
+122 [Agility or Intellect]
+2,440 Stamina
+92 Versatility
+49 Mastery","155 Armor
+125 [Agility or Intellect]
+2,527 Stamina
+93 Versatility
+50 Mastery",https://www.wowhead.com/item=251229
Bladesorrow,251128,"110 - 184 Damage
Speed 1.80
(81.7 damage per second)
+72 Agility
+1,397 Stamina
+52 Critical Strike
+37 Mastery","113 - 189 Damage
Speed 1.80
(83.9 damage per second)
+74 Agility
+1,448 Stamina
+53 Critical Strike
+37 Mastery","116 - 195 Damage
Speed 1.80
(86.4 damage per second)
+76 Agility
+1,501 Stamina
+53 Critical Strike
+38 Mastery","121 - 202 Damage
Speed 1.80
(89.7 damage per second)
+79 Agility
+1,572 Stamina
+54 Critical Strike
+38 Mastery","124 - 208 Damage
Speed 1.80
(92.2 damage per second)
+81 Agility
+1,627 Stamina
+55 Critical Strike
+39 Mastery","128 - 214 Damage
Speed 1.80
(95.0 damage per second)
+84 Agility
+1,684 Stamina
+56 Critical Strike
+39 Mastery",https://www.wowhead.com/item=251128
Blazebound Lieutenant's Helm,193750,"185 Armor
+144 [Agility or Intellect]
+2,794 Stamina
+70 Versatility
+108 Mastery","189 Armor
+148 [Agility or Intellect]
+2,896 Stamina
+71 Versatility
+109 Mastery","193 Armor
+152 [Agility or Intellect]
+3,002 Stamina
+72 Versatility
+111 Mastery","198 Armor
+158 [Agility or Intellect]
+3,143 Stamina
+73 Versatility
+113 Mastery","202 Armor
+162 [Agility or Intellect]
+3,254 Stamina
+74 Versatility
+114 Mastery","206 Armor
+167 [Agility or Intellect]
+3,369 Stamina
+75 Versatility
+116 Mastery",https://www.wowhead.com/item=193750
Bloodthorn Burnous,251190,"65 Armor
+81 [Agility or Strength or Intellect]
+1,572 Stamina
+65 Haste
+35 Mastery","66 Armor
+83 [Agility or Strength or Intellect]
+1,629 Stamina
+66 Haste
+35 Mastery","67 Armor
+86 [Agility or Strength or Intellect]
+1,689 Stamina
+67 Haste
+36 Mastery","69 Armor
+89 [Agility or Strength or Intellect]
+1,768 Stamina
+68 Haste
+37 Mastery","70 Armor
+91 [Agility or Strength or Intellect]
+1,830 Stamina
+69 Haste
+37 Mastery","72 Armor
+94 [Agility or Strength or Intellect]
+1,895 Stamina
+70 Haste
+37 Mastery",https://www.wowhead.com/item=251190
Boots of the Headlong Conqueror,159326,"154 Armor
+108 [Agility or Intellect]
+2,096 Stamina
+75 Versatility
+58 Mastery","157 Armor
+111 [Agility or Intellect]
+2,172 Stamina
+76 Versatility
+59 Mastery","161 Armor
+114 [Agility or Intellect]
+2,252 Stamina
+77 Versatility
+60 Mastery","165 Armor
+118 [Agility or Intellect]
+2,358 Stamina
+79 Versatility
+61 Mastery","168 Armor
+122 [Agility or Intellect]
+2,440 Stamina
+80 Versatility
+61 Mastery","172 Armor
+125 [Agility or Intellect]
+2,527 Stamina
+81 Versatility
+62 Mastery",https://www.wowhead.com/item=159326
