Plate Mythic+ Dungeon Pool — Hero & Myth Upgrade Stats,,,,,,,,
,,,,,,,,
Track rank,Item level,,Methodology,,,,,
Hero 1/6,305,,"Item IDs were matched against SimulationCraft’s current Midnight item database. Displayed stats and scaled item effects were then captured from Wowhead at each Season 2 item level. Values preserve Wowhead’s in-game display rounding. Overlapping Hero/Myth item levels intentionally repeat the same values.

Sources:
https://github.com/simulationcraft/simc
https://www.wowhead.com/guide/midnight/item-level-gear-upgrades-dawncrests
Individual Wowhead item links are included on each data sheet.",,,,,
Hero 2/6,308,,,,,,,
Hero 3/6,311,,,,,,,
Hero 4/6,315,,,,,,,
Hero 5/6,318,,,,,,,
Hero 6/6,321,,,,,,,
Myth 1/6,318,,,,,,,
Myth 2/6,321,,,,,,,
Myth 3/6,324,,,,,,,
Myth 4/6,328,,,,,,,
Myth 5/6,331,,,,,,,
Myth 6/6,334,,,,,,,
Hero Track — Season 2 Upgrade Stats,,,,,,,,
Each cell contains the complete displayed stat/effect line at that upgrade rank.,,,,,,,,
Item Name,Item ID,"Hero 1/6
(ilvl 305)","Hero 2/6
(ilvl 308)","Hero 3/6
(ilvl 311)","Hero 4/6
(ilvl 315)","Hero 5/6
(ilvl 318)","Hero 6/6
(ilvl 321)",Wowhead Source
Aged Interwoven Scaleplate,273777,"418 Armor
+144 [Strength or Intellect]
+2,794 Stamina
+104 Critical Strike
+74 Versatility","426 Armor
+148 [Strength or Intellect]
+2,896 Stamina
+105 Critical Strike
+75 Versatility","435 Armor
+152 [Strength or Intellect]
+3,002 Stamina
+107 Critical Strike
+76 Versatility","447 Armor
+158 [Strength or Intellect]
+3,143 Stamina
+109 Critical Strike
+77 Versatility","456 Armor
+162 [Strength or Intellect]
+3,254 Stamina
+110 Critical Strike
+78 Versatility","466 Armor
+167 [Strength or Intellect]
+3,369 Stamina
+112 Critical Strike
+79 Versatility",https://www.wowhead.com/item=273777
Ancient General's Obsidian Pillars,273783,"366 Armor
+144 [Strength or Intellect]
+2,794 Stamina
+104 Critical Strike
+74 Haste","373 Armor
+148 [Strength or Intellect]
+2,896 Stamina
+105 Critical Strike
+75 Haste","381 Armor
+152 [Strength or Intellect]
+3,002 Stamina
+107 Critical Strike
+76 Haste","391 Armor
+158 [Strength or Intellect]
+3,143 Stamina
+109 Critical Strike
+77 Haste","399 Armor
+162 [Strength or Intellect]
+3,254 Stamina
+110 Critical Strike
+78 Haste","408 Armor
+167 [Strength or Intellect]
+3,369 Stamina
+112 Critical Strike
+79 Haste",https://www.wowhead.com/item=273783
Auric Puddle Stompers,159328,"261 Armor
+108 [Strength or Intellect]
+2,096 Stamina
+75 Versatility
+58 Mastery","266 Armor
+111 [Strength or Intellect]
+2,172 Stamina
+76 Versatility
+59 Mastery","272 Armor
+114 [Strength or Intellect]
+2,252 Stamina
+77 Versatility
+60 Mastery","280 Armor
+118 [Strength or Intellect]
+2,358 Stamina
+79 Versatility
+61 Mastery","285 Armor
+122 [Strength or Intellect]
+2,440 Stamina
+80 Versatility
+61 Mastery","291 Armor
+125 [Strength or Intellect]
+2,527 Stamina
+81 Versatility
+62 Mastery",https://www.wowhead.com/item=159328
Autumn's Boon Belt,251155,"235 Armor
+108 [Strength or Intellect]
+2,096 Stamina
+75 Critical Strike
+58 Haste","240 Armor
+111 [Strength or Intellect]
+2,172 Stamina
+76 Critical Strike
+59 Haste","245 Armor
+114 [Strength or Intellect]
+2,252 Stamina
+77 Critical Strike
+60 Haste","252 Armor
+118 [Strength or Intellect]
+2,358 Stamina
+79 Critical Strike
+61 Haste","257 Armor
+122 [Strength or Intellect]
+2,440 Stamina
+80 Critical Strike
+61 Haste","262 Armor
+125 [Strength or Intellect]
+2,527 Stamina
+81 Critical Strike
+62 Haste",https://www.wowhead.com/item=251155
Backdraft Cleaver,193768,"248 - 372 Damage
Speed 3.60
(86.1 damage per second)
+144 Strength
+2,794 Stamina
+104 Critical Strike
+74 Mastery","255 - 383 Damage
Speed 3.60
(88.6 damage per second)
+148 Strength
+2,896 Stamina
+105 Critical Strike
+75 Mastery","262 - 394 Damage
Speed 3.60
(91.1 damage per second)
+152 Strength
+3,002 Stamina
+107 Critical Strike
+76 Mastery","273 - 409 Damage
Speed 3.60
(94.7 damage per second)
+158 Strength
+3,143 Stamina
+109 Critical Strike
+77 Mastery","280 - 421 Damage
Speed 3.60
(97.4 damage per second)
+162 Strength
+3,254 Stamina
+110 Critical Strike
+78 Mastery","288 - 433 Damage
Speed 3.60
(100.1 damage per second)
+167 Strength
+3,369 Stamina
+112 Critical Strike
+79 Mastery",https://www.wowhead.com/item=193768
Band of the Amani Warlord,273792,"+1,572 Stamina
+123 Critical Strike
+216 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,629 Stamina
+126 Critical Strike
+221 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,689 Stamina
+128 Critical Strike
+225 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,768 Stamina
+131 Critical Strike
+231 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,830 Stamina
+134 Critical Strike
+235 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,895 Stamina
+136 Critical Strike
+239 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""",https://www.wowhead.com/item=273792
Bedrock Breeches,251192,"366 Armor
+144 [Strength or Intellect]
+2,794 Stamina
+112 Versatility
+66 Mastery","373 Armor
+148 [Strength or Intellect]
+2,896 Stamina
+113 Versatility
+67 Mastery","381 Armor
+152 [Strength or Intellect]
+3,002 Stamina
+115 Versatility
+68 Mastery","391 Armor
+158 [Strength or Intellect]
+3,143 Stamina
+117 Versatility
+69 Mastery","399 Armor
+162 [Strength or Intellect]
+3,254 Stamina
+118 Versatility
+70 Mastery","408 Armor
+167 [Strength or Intellect]
+3,369 Stamina
+120 Versatility
+71 Mastery",https://www.wowhead.com/item=251192
Blazebinder's Hoof,193762,"+127 Haste
Use: Bind with the blaze for 20 sec, giving your attacks a high chance to increase your Strength by 119, stacking up to 6 times. When your binding is complete, emit a burnout wave, dealing up to 88253 Fire damage split between all nearby enemies, based on the strength of your binding. (500ms cooldown) (2 Min Cooldown)","+128 Haste
Use: Bind with the blaze for 20 sec, giving your attacks a high chance to increase your Strength by 122, stacking up to 6 times. When your binding is complete, emit a burnout wave, dealing up to 90974 Fire damage split between all nearby enemies, based on the strength of your binding. (500ms cooldown) (2 Min Cooldown)","+130 Haste
Use: Bind with the blaze for 20 sec, giving your attacks a high chance to increase your Strength by 125, stacking up to 6 times. When your binding is complete, emit a burnout wave, dealing up to 93778 Fire damage split between all nearby enemies, based on the strength of your binding. (500ms cooldown) (2 Min Cooldown)","+133 Haste
Use: Bind with the blaze for 20 sec, giving your attacks a high chance to increase your Strength by 130, stacking up to 6 times. When your binding is complete, emit a burnout wave, dealing up to 97652 Fire damage split between all nearby enemies, based on the strength of your binding. (500ms cooldown) (2 Min Cooldown)","+134 Haste
Use: Bind with the blaze for 20 sec, giving your attacks a high chance to increase your Strength by 134, stacking up to 6 times. When your binding is complete, emit a burnout wave, dealing up to 100661 Fire damage split between all nearby enemies, based on the strength of your binding. (500ms cooldown) (2 Min Cooldown)","+136 Haste
Use: Bind with the blaze for 20 sec, giving your attacks a high chance to increase your Strength by 138, stacking up to 6 times. When your binding is complete, emit a burnout wave, dealing up to 103762 Fire damage split between all nearby enemies, based on the strength of your binding. (500ms cooldown) (2 Min Cooldown)",https://www.wowhead.com/item=193762
